# bright_soliton_newton_state_v1
# A,1.00000000000000000e+00
# b,7.50000000000000000e-01
# Omega,1.79999999999999993e-01
# A_sol,7.50000000000000000e-01
# w_sol,5.00000000000000000e-01
# x_start,2.76149999999999984e+00
# v_start,0.00000000000000000e+00
# L,-1.00000000000000000e+01
# R_excluded,9.95000000000000284e+00
# N,400
# dx,5.00000000000007105e-02
# g,-1.00000000000000000e+00
# point_5_over_dx_squared,1.99999999999994316e+02
# interpolate,False
# exported_mass,2.30752941782598864e+00
# exported_x_cm,2.96712377001946592e+00
# exported_width,6.78845247267727103e-01
x,u_real,u_imag
-8.15000000000000036e+00,1.22126223339444542e-06,7.70322947531519009e-20
-8.09999999999999964e+00,1.17085953648888947e-06,7.38528385421289527e-20
-8.05000000000000071e+00,1.12960653989137942e-06,7.12505814753447106e-20
-8.00000000000000000e+00,1.09710699597489015e-06,6.92005481775481138e-20
-7.94999999999999929e+00,1.07303775703097620e-06,6.76823755807225570e-20
-7.90000000000000036e+00,1.05714456678288682e-06,6.66799995887847441e-20
-7.84999999999999964e+00,1.04923847666476106e-06,6.61814947543926009e-20
-7.79999999999999982e+00,1.04919283674417615e-06,6.61788663472622493e-20
-7.75000000000000000e+00,1.05694081721606110e-06,6.66678903587307267e-20
-7.69999999999999929e+00,1.07247342183844672e-06,6.76478863931984311e-20
-7.65000000000000036e+00,1.09583795958308637e-06,6.91217247607898336e-20
-7.59999999999999964e+00,1.12713694519736996e-06,7.10959689522234697e-20
-7.54999999999999982e+00,1.16652740337220296e-06,7.35805523762387870e-20
-7.50000000000000000e+00,1.21422055483172068e-06,7.65888263219641793e-20
-7.44999999999999929e+00,1.27048186594760722e-06,8.01375621347992595e-20
-7.40000000000000036e+00,1.33563144647157131e-06,8.42469530068729295e-20
-7.34999999999999964e+00,1.41004478270811158e-06,8.89406852894537332e-20
-7.29999999999999982e+00,1.49415379594644203e-06,9.42460109081494767e-20
-7.25000000000000000e+00,1.58844821826236730e-06,1.00193765875476268e-19
-7.19999999999999929e+00,1.69347727991217552e-06,1.06818538721801039e-19
-7.15000000000000036e+00,1.80985170449290601e-06,1.14158795323587428e-19
-7.09999999999999964e+00,1.93824600985593300e-06,1.22257144182365262e-19
-7.04999999999999982e+00,2.07940111445115173e-06,1.31160381103254599e-19
-7.00000000000000000e+00,2.23412725036263120e-06,1.40919666882078628e-19
-6.94999999999999929e+00,2.40330718578752978e-06,1.51590647137908165e-19
-6.90000000000000036e+00,2.58789976112093525e-06,1.63233765935916192e-19
-6.84999999999999964e+00,2.78894374415155321e-06,1.75914508998619029e-19
-6.79999999999999982e+00,3.00756201115720313e-06,1.89703761995131084e-19
-6.75000000000000000e+00,3.24496606192424199e-06,2.04678000610385444e-19
-6.69999999999999929e+00,3.50246087791009348e-06,2.20919669622860488e-19
-6.65000000000000036e+00,3.78145013393073037e-06,2.38517158394387865e-19
-6.59999999999999964e+00,4.08344177489274209e-06,2.57565433738430213e-19
-6.54999999999999982e+00,4.41005397020918921e-06,2.78166414667173806e-19
-6.50000000000000000e+00,4.76302145964621667e-06,3.00429628381563143e-19
-6.44999999999999929e+00,5.14420230544939843e-06,3.24472379061051214e-19
-6.40000000000000036e+00,5.55558506670073304e-06,3.50420066743789578e-19
-6.34999999999999964e+00,5.99929641296472521e-06,3.78406881674540765e-19
-6.29999999999999982e+00,6.47760919540030781e-06,4.08576234499897914e-19
-6.25000000000000000e+00,6.99295099465006952e-06,4.41081286055863168e-19
-6.19999999999999929e+00,7.54791316597443642e-06,4.76085470758302190e-19
-6.15000000000000036e+00,8.14526040328171406e-06,5.13763157225029230e-19
-6.09999999999999964e+00,8.78794084492061523e-06,5.54300256060740607e-19
-6.04999999999999982e+00,9.47909674535586899e-06,5.97894976918258907e-19
-6.00000000000000000e+00,1.02220757381457708e-05,6.44758484063647955e-19
-5.95000000000000018e+00,1.10204427169892836e-05,6.95115648221526425e-19
-5.89999999999999947e+00,1.18779923630165595e-05,7.49205723008753399e-19
-5.84999999999999964e+00,1.27987623479674921e-05,8.07283288238045613e-19
-5.79999999999999982e+00,1.37870472444464060e-05,8.69619476701574885e-19
-5.75000000000000000e+00,1.48474131760655611e-05,9.36502230458813789e-19
-5.70000000000000018e+00,1.59847132420053617e-05,1.00823759306465884e-18
-5.64999999999999947e+00,1.72041037523355769e-05,1.08515073443115286e-18
-5.59999999999999964e+00,1.85110613123706463e-05,1.16758714586353166e-18
-5.54999999999999982e+00,1.99114007963865778e-05,1.25591365470705309e-18
-5.50000000000000000e+00,2.14112942532206687e-05,1.35051963951500475e-18
-5.45000000000000018e+00,2.30172907886245300e-05,1.45181817256322511e-18
-5.39999999999999947e+00,2.47363374717632435e-05,1.56024742855012096e-18
-5.34999999999999964e+00,2.65758013159687952e-05,1.67627206932567864e-18
-5.29999999999999982e+00,2.85434923867859370e-05,1.80038465727518319e-18
-5.25000000000000000e+00,3.06476880935189512e-05,1.93310723251727701e-18
-5.19999999999999929e+00,3.28971587239255844e-05,2.07499308000882803e-18
-5.14999999999999947e+00,3.53011942854413520e-05,2.22662821559602741e-18
-5.09999999999999964e+00,3.78696327203887907e-05,2.38863321695689167e-18
-5.04999999999999982e+00,4.06128895670711249e-05,2.56166509924446056e-18
-5.00000000000000000e+00,4.35419891435137349e-05,2.74641915100450737e-18
-4.94999999999999929e+00,4.66685973359486702e-05,2.94363112874470452e-18
-4.89999999999999947e+00,5.00050560799949364e-05,3.15407943479996867e-18
-4.84999999999999964e+00,5.35644196289332834e-05,3.37858749619441078e-18
-4.79999999999999982e+00,5.73604927105805801e-05,3.61802607614740499e-18
-4.75000000000000000e+00,6.14078706821165777e-05,3.87331580999541758e-18
-4.69999999999999929e+00,6.57219818008962687e-05,4.14542981757273817e-18
-4.64999999999999947e+00,7.03191317388957547e-05,4.43539656197099957e-18
-4.59999999999999964e+00,7.52165504791063827e-05,4.74430273361234151e-18
-4.54999999999999982e+00,8.04324417440393700e-05,5.07329659367894809e-18
-4.50000000000000000e+00,8.59860351196804247e-05,5.42359110954408871e-18
-4.44999999999999929e+00,9.18976410529061976e-05,5.79646742150039779e-18
-4.39999999999999947e+00,9.81887089167294397e-05,6.19327842983355240e-18
